GyroFB,GyroRL,AccelFB,AccelRL,L_FSR_X,L_FSR_Y,R_FSR_X,R_FSR_Y,
494,514,499,523,0,0,0,0,
491,514,501,524,0,0,0,0,
494,514,499,521,0,0,0,0,
492,514,501,521,0,0,0,0,
492,514,499,521,0,0,0,0,
492,514,500,521,0,0,0,0,
492,514,499,522,0,0,0,0,
494,514,500,521,0,0,0,0,
491,514,500,521,0,0,0,0,
492,514,502,521,0,0,0,0,
492,514,501,523,0,0,0,0,
492,514,498,522,0,0,0,0,
492,514,499,522,0,0,0,0,
492,514,501,521,0,0,0,0,
492,514,500,522,0,0,0,0,
492,514,500,520,0,0,0,0,
491,515,499,521,0,0,0,0,
492,514,502,522,0,0,0,0,
491,514,500,522,0,0,0,0,
492,514,499,521,0,0,0,0,
492,514,500,520,0,0,0,0,
494,514,500,522,0,0,0,0,
492,514,500,521,0,0,0,0,
492,514,499,521,0,0,0,0,
492,514,499,520,0,0,0,0,
492,514,498,523,0,0,0,0,
491,514,499,520,0,0,0,0,
492,514,501,521,0,0,0,0,
494,514,502,520,0,0,0,0,
492,513,499,523,0,0,0,0,
492,514,498,520,0,0,0,0,
494,514,501,521,0,0,0,0,
492,514,502,521,0,0,0,0,
492,514,499,523,0,0,0,0,
492,514,501,522,0,0,0,0,
494,514,499,522,0,0,0,0,
491,514,500,523,0,0,0,0,
492,514,498,521,0,0,0,0,
492,514,501,522,0,0,0,0,
492,514,501,521,0,0,0,0,
492,513,499,522,0,0,0,0,
494,514,500,520,0,0,0,0,
492,514,502,521,0,0,0,0,
494,514,501,521,0,0,0,0,
492,514,500,519,0,0,0,0,
492,514,501,523,0,0,0,0,
492,514,500,522,0,0,0,0,
494,514,500,519,0,0,0,0,
492,514,501,521,0,0,0,0,
492,514,498,522,0,0,0,0,
494,513,501,523,0,0,0,0,
492,514,501,522,0,0,0,0,
492,514,500,522,0,0,0,0,
494,514,499,521,0,0,0,0,
492,514,500,521,0,0,0,0,
492,514,501,521,0,0,0,0,
492,514,502,522,0,0,0,0,
492,514,500,520,0,0,0,0,
492,513,499,520,0,0,0,0,
492,513,500,522,0,0,0,0,
494,514,499,521,0,0,0,0,
492,514,502,520,0,0,0,0,
492,513,502,522,0,0,0,0,
492,514,501,523,0,0,0,0,
494,514,499,518,0,0,0,0,
492,514,499,521,0,0,0,0,
492,514,499,522,0,0,0,0,
492,514,499,520,0,0,0,0,
492,514,501,521,0,0,0,0,
492,514,499,521,0,0,0,0,
494,514,499,521,0,0,0,0,
494,514,499,522,0,0,0,0,
494,514,502,522,0,0,0,0,
492,514,501,522,0,0,0,0,
492,514,501,520,0,0,0,0,
492,513,499,521,0,0,0,0,
494,514,501,523,0,0,0,0,
492,514,502,523,0,0,0,0,
492,514,500,522,0,0,0,0,
494,514,501,523,0,0,0,0,
492,514,500,522,0,0,0,0,
492,514,502,521,0,0,0,0,
494,514,499,523,0,0,0,0,
492,514,501,521,0,0,0,0,
492,514,502,521,0,0,0,0,
491,514,499,520,0,0,0,0,
492,514,499,521,0,0,0,0,
494,514,501,521,0,0,0,0,
492,514,501,521,0,0,0,0,
491,514,500,521,0,0,0,0,
492,514,500,521,0,0,0,0,
492,514,500,521,0,0,0,0,
492,514,500,521,0,0,0,0,
494,514,501,522,0,0,0,0,
492,514,498,522,0,0,0,0,
494,514,498,522,0,0,0,0,
492,514,500,521,0,0,0,0,
492,514,501,522,0,0,0,0,
494,514,500,522,0,0,0,0,
492,514,499,523,0,0,0,0,
494,514,500,521,0,0,0,0,
492,514,499,521,0,0,0,0,
492,514,501,521,0,0,0,0,
492,514,500,523,0,0,0,0,
492,514,499,520,0,0,0,0,
491,514,501,521,0,0,0,0,
492,514,500,520,0,0,0,0,
492,514,501,522,0,0,0,0,
492,514,500,523,0,0,0,0,
492,514,502,522,0,0,0,0,
492,513,500,524,0,0,0,0,
492,514,500,521,0,0,0,0,
492,514,500,521,0,0,0,0,
494,514,498,520,0,0,0,0,
492,514,499,521,0,0,0,0,
492,514,499,523,0,0,0,0,
492,514,501,523,0,0,0,0,
494,514,501,521,0,0,0,0,
492,514,500,522,0,0,0,0,
492,514,500,523,0,0,0,0,
492,514,500,517,0,0,0,0,
491,514,500,522,0,0,0,0,
491,514,500,520,0,0,0,0,
492,514,502,520,0,0,0,0,
492,513,502,524,0,0,0,0,
492,514,498,522,0,0,0,0,
492,514,500,523,0,0,0,0,
492,514,502,521,0,0,0,0,
492,514,501,522,0,0,0,0,
492,514,500,521,0,0,0,0,
491,514,500,521,0,0,0,0,
492,514,502,522,0,0,0,0,
492,514,500,521,0,0,0,0,
492,514,501,522,0,0,0,0,
492,514,500,520,0,0,0,0,
492,514,500,523,0,0,0,0,
492,513,499,520,0,0,0,0,
494,514,500,516,0,0,0,0,
492,514,501,522,0,0,0,0,
492,513,501,523,0,0,0,0,
492,514,498,525,0,0,0,0,
491,514,501,522,0,0,0,0,
492,514,501,521,0,0,0,0,
492,514,500,520,0,0,0,0,
492,514,499,522,0,0,0,0,
492,514,500,524,0,0,0,0,
492,514,499,521,0,0,0,0,
492,513,501,520,0,0,0,0,
494,514,500,521,0,0,0,0,
492,514,497,521,0,0,0,0,
492,513,502,521,0,0,0,0,
492,514,498,520,0,0,0,0,
492,514,501,522,0,0,0,0,
492,514,500,520,0,0,0,0,
492,514,500,523,0,0,0,0,
492,514,498,522,0,0,0,0,
492,513,500,519,0,0,0,0,
494,514,499,521,0,0,0,0,
492,514,501,522,0,0,0,0,
492,514,500,522,0,0,0,0,
494,514,502,521,0,0,0,0,
492,514,501,522,0,0,0,0,
492,514,500,522,0,0,0,0,
494,514,500,523,0,0,0,0,
492,514,501,520,0,0,0,0,
492,514,500,525,0,0,0,0,
492,514,502,524,0,0,0,0,
492,513,501,520,0,0,0,0,
494,514,499,523,0,0,0,0,
492,514,499,519,0,0,0,0,
492,514,499,524,0,0,0,0,
491,514,499,520,0,0,0,0,
492,514,501,524,0,0,0,0,
494,514,501,520,0,0,0,0,
492,514,499,523,0,0,0,0,
492,513,500,524,0,0,0,0,
492,514,500,522,0,0,0,0,
490,514,501,521,0,0,0,0,
492,514,498,523,0,0,0,0,
494,514,499,522,0,0,0,0,
492,514,501,520,0,0,0,0,
494,514,499,520,0,0,0,0,
494,514,499,521,0,0,0,0,
494,513,498,521,0,0,0,0,
492,514,499,522,0,0,0,0,
491,514,501,523,0,0,0,0,
492,514,499,521,0,0,0,0,
492,514,501,522,0,0,0,0,
492,514,500,521,0,0,0,0,
492,514,501,522,0,0,0,0,
492,514,499,519,0,0,0,0,
492,514,499,520,0,0,0,0,
492,513,499,521,0,0,0,0,
492,514,500,521,0,0,0,0,
492,514,500,521,0,0,0,0,
492,514,499,521,0,0,0,0,
492,514,500,523,0,0,0,0,
492,514,499,523,0,0,0,0,
494,514,501,522,0,0,0,0,
492,514,499,521,0,0,0,0,
492,514,499,521,0,0,0,0,
492,514,500,521,0,0,0,0,
492,514,501,524,0,0,0,0,
492,514,499,521,0,0,0,0,
492,514,499,521,0,0,0,0,
491,514,500,523,0,0,0,0,
492,515,502,523,0,0,0,0,
491,514,500,522,0,0,0,0,
494,514,501,522,0,0,0,0,
492,514,500,521,0,0,0,0,
492,514,501,522,0,0,0,0,
491,514,502,523,0,0,0,0,
494,514,501,523,0,0,0,0,
492,514,501,522,0,0,0,0,
492,514,498,523,0,0,0,0,
492,514,497,521,0,0,0,0,
492,514,499,523,0,0,0,0,
494,514,501,521,0,0,0,0,
492,514,500,523,0,0,0,0,
492,514,499,521,0,0,0,0,
492,514,500,522,0,0,0,0,
494,513,500,522,0,0,0,0,
492,514,502,523,0,0,0,0,
492,514,502,521,0,0,0,0,
492,514,499,523,0,0,0,0,
492,514,500,521,0,0,0,0,
494,514,497,521,0,0,0,0,
492,514,498,521,0,0,0,0,
494,514,499,519,0,0,0,0,
491,514,500,522,0,0,0,0,
491,514,501,522,0,0,0,0,
494,514,500,523,0,0,0,0,
492,514,499,521,0,0,0,0,
492,513,500,521,0,0,0,0,
494,514,499,522,0,0,0,0,
492,514,499,521,0,0,0,0,
492,514,500,522,0,0,0,0,
494,514,500,521,0,0,0,0,
491,514,500,522,0,0,0,0,
494,514,499,522,0,0,0,0,
492,514,500,521,0,0,0,0,
492,514,501,523,0,0,0,0,
492,514,501,520,0,0,0,0,
492,514,498,521,0,0,0,0,
492,514,500,521,0,0,0,0,
492,514,502,521,0,0,0,0,
492,514,501,522,0,0,0,0,
492,514,499,522,0,0,0,0,
492,514,497,522,0,0,0,0,
494,514,501,522,0,0,0,0,
492,514,502,521,0,0,0,0,
492,514,501,522,0,0,0,0,
492,514,501,520,0,0,0,0,
494,514,498,519,0,0,0,0,
494,513,501,522,0,0,0,0,
491,514,499,522,0,0,0,0,
494,514,500,522,0,0,0,0,
492,514,499,522,0,0,0,0,
492,514,499,523,0,0,0,0,
492,514,497,523,0,0,0,0,
492,514,499,523,0,0,0,0,
492,514,498,524,0,0,0,0,
492,514,500,520,0,0,0,0,
494,514,499,519,0,0,0,0,
492,514,502,522,0,0,0,0,
492,514,499,520,0,0,0,0,
492,514,499,521,0,0,0,0,
492,514,499,522,0,0,0,0,
492,514,499,521,0,0,0,0,
492,514,500,520,0,0,0,0,
492,514,501,522,0,0,0,0,
492,514,500,522,0,0,0,0,
492,514,499,521,0,0,0,0,
492,514,498,522,0,0,0,0,
492,514,499,521,0,0,0,0,
492,514,500,521,0,0,0,0,
492,514,501,521,0,0,0,0,
492,514,499,521,0,0,0,0,
492,514,500,522,0,0,0,0,
491,514,499,522,0,0,0,0,
494,514,501,521,0,0,0,0,
492,514,499,522,0,0,0,0,
492,513,500,521,0,0,0,0,
492,514,500,522,0,0,0,0,
492,514,500,522,0,0,0,0,
492,514,500,518,0,0,0,0,
492,514,498,523,0,0,0,0,
491,514,501,522,0,0,0,0,
492,514,499,522,0,0,0,0,
494,514,501,521,0,0,0,0,
494,513,501,520,0,0,0,0,
492,514,500,523,0,0,0,0,
494,514,500,520,0,0,0,0,
492,514,499,522,0,0,0,0,
494,514,500,521,0,0,0,0,
492,514,502,521,0,0,0,0,
494,514,499,521,0,0,0,0,
492,514,501,521,0,0,0,0,
492,514,500,520,0,0,0,0,
492,514,500,522,0,0,0,0,
492,514,500,521,0,0,0,0,
492,514,498,522,0,0,0,0,
494,513,499,521,0,0,0,0,
492,514,502,523,0,0,0,0,
494,514,499,524,0,0,0,0,
494,514,500,519,0,0,0,0,
492,514,499,522,0,0,0,0,
494,514,501,523,0,0,0,0,
494,514,499,520,0,0,0,0,
492,514,500,522,0,0,0,0,
492,514,500,522,0,0,0,0,
492,513,500,524,0,0,0,0,
491,514,498,520,0,0,0,0,
492,514,499,524,0,0,0,0,
492,514,498,520,0,0,0,0,
492,514,500,521,0,0,0,0,
494,514,500,521,0,0,0,0,
492,514,501,521,0,0,0,0,
491,514,499,518,0,0,0,0,
492,514,498,523,0,0,0,0,
491,514,501,523,0,0,0,0,
492,513,500,523,0,0,0,0,
492,514,499,521,0,0,0,0,
491,514,503,522,0,0,0,0,
494,514,500,520,0,0,0,0,
492,514,500,518,0,0,0,0,
492,514,499,519,0,0,0,0,
494,514,500,521,0,0,0,0,
492,513,500,522,0,0,0,0,
494,514,499,523,0,0,0,0,
492,514,501,522,0,0,0,0,
494,514,496,519,0,0,0,0,
492,514,501,520,0,0,0,0,
492,514,499,522,0,0,0,0,
492,514,499,520,0,0,0,0,
492,514,500,523,0,0,0,0,
494,513,499,522,0,0,0,0,
492,514,500,520,0,0,0,0,
492,514,500,521,0,0,0,0,
494,514,501,521,0,0,0,0,
494,514,501,520,0,0,0,0,
492,514,500,520,0,0,0,0,
492,514,501,521,0,0,0,0,
494,514,502,519,0,0,0,0,
492,513,500,522,0,0,0,0,
494,514,501,522,0,0,0,0,
492,514,501,519,0,0,0,0,
492,514,500,522,0,0,0,0,
494,513,502,522,0,0,0,0,
494,514,502,523,0,0,0,0,
492,514,500,524,0,0,0,0,
492,514,500,523,0,0,0,0,
492,514,501,521,0,0,0,0,
492,514,500,519,0,0,0,0,
492,514,499,521,0,0,0,0,
492,514,501,518,0,0,0,0,
492,514,499,521,0,0,0,0,
492,514,499,521,0,0,0,0,
492,514,501,522,0,0,0,0,
492,514,501,521,0,0,0,0,
494,514,500,522,0,0,0,0,
492,514,500,519,0,0,0,0,
491,514,501,523,0,0,0,0,
492,514,501,521,0,0,0,0,
492,514,500,522,0,0,0,0,
492,514,500,521,0,0,0,0,
494,514,501,521,0,0,0,0,
494,514,500,521,0,0,0,0,
492,514,499,522,0,0,0,0,
491,514,499,522,0,0,0,0,
494,514,501,520,0,0,0,0,
494,514,499,522,0,0,0,0,
494,514,500,520,0,0,0,0,
494,514,502,522,0,0,0,0,
492,514,501,521,0,0,0,0,
494,514,502,521,0,0,0,0,
492,514,499,521,0,0,0,0,
492,514,501,521,0,0,0,0,
494,514,500,519,0,0,0,0,
492,514,499,520,0,0,0,0,
492,514,499,522,0,0,0,0,
492,514,499,520,0,0,0,0,
492,513,496,522,0,0,0,0,
492,513,500,522,0,0,0,0,
492,514,501,521,0,0,0,0,
492,514,498,521,0,0,0,0,
494,514,500,520,0,0,0,0,
491,514,499,519,0,0,0,0,
492,514,500,522,0,0,0,0,
492,514,500,522,0,0,0,0,
492,514,500,521,0,0,0,0,
492,514,500,519,0,0,0,0,
492,514,499,524,0,0,0,0,
492,514,501,521,0,0,0,0,
492,514,500,521,0,0,0,0,
494,514,501,521,0,0,0,0,
494,514,501,523,0,0,0,0,
491,514,500,520,0,0,0,0,
494,514,500,521,0,0,0,0,
492,513,499,521,0,0,0,0,
494,513,500,521,0,0,0,0,
492,513,500,520,0,0,0,0,
492,514,499,521,0,0,0,0,
492,514,498,524,0,0,0,0,
492,514,496,520,0,0,0,0,
492,514,501,522,0,0,0,0,
492,514,500,523,0,0,0,0,
492,514,501,524,0,0,0,0,
492,514,500,521,0,0,0,0,
492,513,499,522,0,0,0,0,
492,514,501,521,0,0,0,0,
492,513,502,522,0,0,0,0,
494,513,499,520,0,0,0,0,
492,514,499,522,0,0,0,0,
492,514,500,522,0,0,0,0,
494,514,501,522,0,0,0,0,
491,514,500,523,0,0,0,0,
492,513,502,522,0,0,0,0,
492,514,500,521,0,0,0,0,
494,514,501,524,0,0,0,0,
492,514,500,522,0,0,0,0,
494,514,501,520,0,0,0,0,
492,514,499,523,0,0,0,0,
492,513,501,522,0,0,0,0,
494,514,501,522,0,0,0,0,
492,514,499,522,0,0,0,0,
492,514,501,521,0,0,0,0,
492,513,500,522,0,0,0,0,
494,514,498,523,0,0,0,0,
492,514,499,524,0,0,0,0,
492,514,501,521,0,0,0,0,
492,514,500,522,0,0,0,0,
492,514,501,520,0,0,0,0,
492,514,499,521,0,0,0,0,
492,514,501,521,0,0,0,0,
492,514,500,522,0,0,0,0,
492,514,499,522,0,0,0,0,
492,513,501,523,0,0,0,0,
492,514,500,522,0,0,0,0,
494,514,501,521,0,0,0,0,
492,514,501,521,0,0,0,0,
492,514,500,521,0,0,0,0,
492,514,499,521,0,0,0,0,
492,514,500,522,0,0,0,0,
492,514,501,519,0,0,0,0,
494,514,499,523,0,0,0,0,
492,514,502,521,0,0,0,0,
494,513,500,521,0,0,0,0,
492,514,501,522,0,0,0,0,
492,514,500,521,0,0,0,0,
494,514,500,522,0,0,0,0,
492,514,500,520,0,0,0,0,
492,514,502,522,0,0,0,0,
494,513,498,522,0,0,0,0,
492,514,500,521,0,0,0,0,
492,513,499,520,0,0,0,0,
492,514,500,521,0,0,0,0,
492,514,499,521,0,0,0,0,
492,514,500,521,0,0,0,0,
494,514,501,523,0,0,0,0,
492,514,501,522,0,0,0,0,
492,514,500,521,0,0,0,0,
492,514,501,521,0,0,0,0,
492,513,500,523,0,0,0,0,
492,514,499,521,0,0,0,0,
492,514,499,521,0,0,0,0,
492,514,499,519,0,0,0,0,
492,514,501,521,0,0,0,0,
492,514,500,520,0,0,0,0,
494,514,499,522,0,0,0,0,
492,514,500,521,0,0,0,0,
492,514,500,521,0,0,0,0,
492,514,503,522,0,0,0,0,
494,514,499,521,0,0,0,0,
492,514,501,521,0,0,0,0,
492,514,499,520,0,0,0,0,
492,514,500,523,0,0,0,0,
492,514,502,519,0,0,0,0,
492,514,499,521,0,0,0,0,
492,514,500,522,0,0,0,0,
492,513,499,522,0,0,0,0,
492,514,500,521,0,0,0,0,
492,514,499,521,0,0,0,0,
492,513,501,522,0,0,0,0,
492,514,498,523,0,0,0,0,
492,514,499,520,0,0,0,0,
492,514,501,522,0,0,0,0,
492,514,500,521,0,0,0,0,
492,514,498,522,0,0,0,0,
492,514,501,521,0,0,0,0,
492,514,501,523,0,0,0,0,
492,514,501,521,0,0,0,0,
492,514,501,522,0,0,0,0,
494,514,502,522,0,0,0,0,
494,514,500,522,0,0,0,0,
492,514,499,520,0,0,0,0,
492,514,499,522,0,0,0,0,
491,514,501,520,0,0,0,0,
494,514,500,524,0,0,0,0,
494,514,500,522,0,0,0,0,
492,514,499,524,0,0,0,0,
492,514,500,522,0,0,0,0,
492,514,501,521,0,0,0,0,
492,514,500,522,0,0,0,0,
492,514,500,521,0,0,0,0,
492,514,502,522,0,0,0,0,
492,514,501,521,0,0,0,0,
492,514,501,521,0,0,0,0,
492,514,502,523,0,0,0,0,
492,514,499,523,0,0,0,0,
492,514,500,521,0,0,0,0,
491,514,499,521,0,0,0,0,
494,514,499,522,0,0,0,0,
492,513,499,521,0,0,0,0,
494,514,502,521,0,0,0,0,
492,514,501,521,0,0,0,0,
491,514,500,523,0,0,0,0,
492,514,499,521,0,0,0,0,
494,514,500,523,0,0,0,0,
491,514,501,520,0,0,0,0,
492,514,500,523,0,0,0,0,
492,514,501,524,0,0,0,0,
494,514,501,522,0,0,0,0,
491,514,500,521,0,0,0,0,
494,514,499,521,0,0,0,0,
492,513,499,521,0,0,0,0,
492,514,500,522,0,0,0,0,
494,514,500,521,0,0,0,0,
492,514,499,521,0,0,0,0,
492,514,500,522,0,0,0,0,
492,514,501,519,0,0,0,0,
494,514,500,521,0,0,0,0,
492,514,500,522,0,0,0,0,
494,514,501,523,0,0,0,0,
494,514,500,521,0,0,0,0,
492,514,499,520,0,0,0,0,
492,514,501,520,0,0,0,0,
492,514,500,523,0,0,0,0,
492,514,501,522,0,0,0,0,
492,514,499,522,0,0,0,0,
492,513,501,521,0,0,0,0,
492,514,502,519,0,0,0,0,
492,514,500,519,0,0,0,0,
492,514,500,521,0,0,0,0,
494,514,500,520,0,0,0,0,
492,514,501,521,0,0,0,0,
494,514,500,519,0,0,0,0,
492,514,499,521,0,0,0,0,
492,514,501,522,0,0,0,0,
492,514,500,523,0,0,0,0,
492,514,500,523,0,0,0,0,
492,514,501,521,0,0,0,0,
494,514,500,521,0,0,0,0,
492,514,500,521,0,0,0,0,
492,514,502,522,0,0,0,0,
492,514,499,521,0,0,0,0,
492,514,499,520,0,0,0,0,
492,514,498,520,0,0,0,0,
492,514,499,520,0,0,0,0,
492,513,501,522,0,0,0,0,
494,514,500,523,0,0,0,0,
492,514,501,521,0,0,0,0,
492,514,499,523,0,0,0,0,
494,514,501,521,0,0,0,0,
492,513,500,522,0,0,0,0,
492,514,499,522,0,0,0,0,
492,514,500,521,0,0,0,0,
492,514,497,522,0,0,0,0,
491,514,499,522,0,0,0,0,
494,514,500,521,0,0,0,0,
492,514,500,521,0,0,0,0,
492,514,500,521,0,0,0,0,
492,514,499,521,0,0,0,0,
492,514,500,521,0,0,0,0,
494,514,498,522,0,0,0,0,
494,514,499,521,0,0,0,0,
492,514,498,520,0,0,0,0,
492,514,498,520,0,0,0,0,
492,514,498,522,0,0,0,0,
492,514,500,520,0,0,0,0,
492,514,500,522,0,0,0,0,
492,514,500,519,0,0,0,0,
492,514,500,522,0,0,0,0,
492,514,499,522,0,0,0,0,
492,515,500,520,0,0,0,0,
492,514,500,520,0,0,0,0,
492,514,500,521,0,0,0,0,
492,514,501,522,0,0,0,0,
492,514,501,522,0,0,0,0,
494,514,500,521,0,0,0,0,
492,514,501,524,0,0,0,0,
492,514,499,520,0,0,0,0,
492,514,500,522,0,0,0,0,
492,514,500,523,0,0,0,0,
492,514,499,523,0,0,0,0,
494,514,500,523,0,0,0,0,
492,514,500,520,0,0,0,0,
492,514,502,522,0,0,0,0,
492,514,498,521,0,0,0,0,
492,513,502,519,0,0,0,0,
492,514,502,523,0,0,0,0,
492,514,500,520,0,0,0,0,
491,514,500,523,0,0,0,0,
494,514,500,520,0,0,0,0,
492,514,501,522,0,0,0,0,
494,514,499,522,0,0,0,0,
492,514,499,521,0,0,0,0,
494,514,501,524,0,0,0,0,
492,514,500,522,0,0,0,0,
492,514,500,520,0,0,0,0,
492,514,500,520,0,0,0,0,
492,514,499,522,0,0,0,0,
494,514,503,521,0,0,0,0,
492,514,500,521,0,0,0,0,
492,513,500,523,0,0,0,0,
494,514,500,523,0,0,0,0,
494,514,499,521,0,0,0,0,
492,514,501,521,0,0,0,0,
492,514,498,521,0,0,0,0,
494,514,501,523,0,0,0,0,
492,514,500,523,0,0,0,0,
492,514,500,522,0,0,0,0,
492,514,500,521,0,0,0,0,
494,513,499,519,0,0,0,0,
492,514,499,521,0,0,0,0,
492,514,499,523,0,0,0,0,
494,514,503,522,0,0,0,0,
494,514,501,522,0,0,0,0,
491,514,501,525,0,0,0,0,
492,514,498,522,0,0,0,0,
494,514,500,521,0,0,0,0,
492,514,501,522,0,0,0,0,
492,513,500,521,0,0,0,0,
492,514,500,522,0,0,0,0,
494,514,502,522,0,0,0,0,
494,514,500,520,0,0,0,0,
492,514,501,521,0,0,0,0,
492,514,500,521,0,0,0,0,
492,513,500,520,0,0,0,0,
492,514,500,523,0,0,0,0,
492,514,500,521,0,0,0,0,
492,514,501,522,0,0,0,0,
492,514,501,523,0,0,0,0,
492,514,498,521,0,0,0,0,
492,514,499,519,0,0,0,0,
494,514,500,521,0,0,0,0,
492,514,500,522,0,0,0,0,
494,514,500,521,0,0,0,0,
492,514,502,521,0,0,0,0,
492,514,501,520,0,0,0,0,
492,514,500,520,0,0,0,0,
492,514,500,521,0,0,0,0,
494,514,499,523,0,0,0,0,
492,514,501,520,0,0,0,0,
494,514,502,523,0,0,0,0,
491,514,499,523,0,0,0,0,
494,514,501,521,0,0,0,0,
492,514,499,520,0,0,0,0,
492,514,502,521,0,0,0,0,
491,514,499,522,0,0,0,0,
491,514,500,523,0,0,0,0,
494,513,501,521,0,0,0,0,
492,514,500,522,0,0,0,0,
494,514,500,521,0,0,0,0,
492,514,499,521,0,0,0,0,
492,514,498,519,0,0,0,0,
491,514,500,522,0,0,0,0,
492,514,499,521,0,0,0,0,
492,514,500,523,0,0,0,0,
492,514,500,520,0,0,0,0,
492,514,500,521,0,0,0,0,
492,514,499,521,0,0,0,0,
492,514,498,520,0,0,0,0,
491,514,499,521,0,0,0,0,
494,514,499,521,0,0,0,0,
492,514,500,522,0,0,0,0,
492,514,500,523,0,0,0,0,
492,513,498,522,0,0,0,0,
492,514,501,521,0,0,0,0,
492,514,497,521,0,0,0,0,
492,514,500,521,0,0,0,0,
492,514,498,521,0,0,0,0,
492,514,501,522,0,0,0,0,
494,514,500,519,0,0,0,0,
494,514,499,522,0,0,0,0,
491,514,498,522,0,0,0,0,
492,514,499,521,0,0,0,0,
492,513,499,523,0,0,0,0,
494,514,499,517,0,0,0,0,
492,514,500,522,0,0,0,0,
492,514,500,522,0,0,0,0,
492,515,500,522,0,0,0,0,
494,513,501,521,0,0,0,0,
494,514,499,520,0,0,0,0,
492,514,500,521,0,0,0,0,
492,513,501,523,0,0,0,0,
492,514,500,521,0,0,0,0,
494,513,501,522,0,0,0,0,
492,514,500,523,0,0,0,0,
492,514,500,524,0,0,0,0,
492,514,498,520,0,0,0,0,
492,514,499,524,0,0,0,0,
492,514,499,522,0,0,0,0,
492,514,500,522,0,0,0,0,
492,514,500,521,0,0,0,0,
492,514,500,520,0,0,0,0,
494,514,500,521,0,0,0,0,
492,514,499,521,0,0,0,0,
492,514,499,521,0,0,0,0,
492,514,498,521,0,0,0,0,
492,514,500,522,0,0,0,0,
494,514,499,522,0,0,0,0,
492,514,502,521,0,0,0,0,
492,514,500,521,0,0,0,0,
492,514,498,522,0,0,0,0,
492,514,499,521,0,0,0,0,
494,514,501,524,0,0,0,0,
492,514,502,521,0,0,0,0,
492,514,501,520,0,0,0,0,
492,514,500,523,0,0,0,0,
492,514,501,521,0,0,0,0,
492,514,500,522,0,0,0,0,
492,514,500,521,0,0,0,0,
492,514,500,523,0,0,0,0,
492,513,499,521,0,0,0,0,
494,514,500,522,0,0,0,0,
492,514,501,524,0,0,0,0,
492,514,500,521,0,0,0,0,
492,513,500,522,0,0,0,0,
492,514,500,521,0,0,0,0,
492,514,501,523,0,0,0,0,
492,514,501,522,0,0,0,0,
492,514,500,521,0,0,0,0,
492,514,500,522,0,0,0,0,
492,513,499,522,0,0,0,0,
492,513,501,522,0,0,0,0,
492,514,500,522,0,0,0,0,
491,514,500,522,0,0,0,0,
492,514,500,521,0,0,0,0,
494,514,499,520,0,0,0,0,
491,514,500,523,0,0,0,0,
492,513,500,520,0,0,0,0,
491,514,500,521,0,0,0,0,
494,514,500,521,0,0,0,0,
492,514,500,521,0,0,0,0,
492,514,500,520,0,0,0,0,
492,514,502,522,0,0,0,0,
492,514,502,522,0,0,0,0,
492,514,501,522,0,0,0,0,
494,514,500,521,0,0,0,0,
492,514,501,522,0,0,0,0,
494,513,500,522,0,0,0,0,
492,514,501,521,0,0,0,0,
492,514,500,521,0,0,0,0,
492,514,500,521,0,0,0,0,
492,514,502,523,0,0,0,0,
494,514,501,522,0,0,0,0,
492,514,498,521,0,0,0,0,
492,514,498,521,0,0,0,0,
492,514,500,519,0,0,0,0,
494,514,499,523,0,0,0,0,
492,514,502,522,0,0,0,0,
492,514,499,522,0,0,0,0,
494,514,500,521,0,0,0,0,
491,514,498,521,0,0,0,0,
492,514,500,521,0,0,0,0,
492,514,501,521,0,0,0,0,
494,514,498,521,0,0,0,0,
492,514,501,521,0,0,0,0,
494,514,499,521,0,0,0,0,
492,513,500,522,0,0,0,0,
492,514,500,521,0,0,0,0,
491,514,500,522,0,0,0,0,
492,514,500,522,0,0,0,0,
492,514,498,523,0,0,0,0,
492,514,499,520,0,0,0,0,
492,514,496,521,0,0,0,0,
492,514,499,521,0,0,0,0,
492,514,500,520,0,0,0,0,
492,514,500,522,0,0,0,0,
492,514,500,520,0,0,0,0,
491,514,498,521,0,0,0,0,
494,514,499,523,0,0,0,0,
492,514,501,521,0,0,0,0,
492,514,501,518,0,0,0,0,
492,514,500,521,0,0,0,0,
492,514,500,522,0,0,0,0,
492,514,499,520,0,0,0,0,
494,514,501,522,0,0,0,0,
492,514,500,521,0,0,0,0,
492,514,500,521,0,0,0,0,
491,514,499,521,0,0,0,0,
492,514,500,521,0,0,0,0,
492,514,499,522,0,0,0,0,
492,514,499,522,0,0,0,0,
492,513,501,520,0,0,0,0,
494,514,501,522,0,0,0,0,
492,513,499,522,0,0,0,0,
492,514,502,521,0,0,0,0,
492,514,499,523,0,0,0,0,
492,514,500,521,0,0,0,0,
492,514,498,522,0,0,0,0,
494,514,501,524,0,0,0,0,
492,514,500,523,0,0,0,0,
491,514,499,521,0,0,0,0,
491,514,499,521,0,0,0,0,
492,514,499,523,0,0,0,0,
492,514,499,520,0,0,0,0,
492,514,498,521,0,0,0,0,
494,514,501,521,0,0,0,0,
494,514,498,521,0,0,0,0,
492,514,500,522,0,0,0,0,
492,514,499,522,0,0,0,0,
492,514,501,523,0,0,0,0,
492,514,500,522,0,0,0,0,
492,514,499,522,0,0,0,0,
492,514,501,519,0,0,0,0,
492,514,501,520,0,0,0,0,
491,514,501,521,0,0,0,0,
494,514,501,520,0,0,0,0,
