GyroFB,GyroRL,AccelFB,AccelRL,L_FSR_X,L_FSR_Y,R_FSR_X,R_FSR_Y,
491,512,512,512,0,0,0,0,
492,513,510,512,0,0,0,0,
492,513,511,512,0,0,0,0,
491,513,512,512,0,0,0,0,
491,513,510,512,0,0,0,0,
492,514,511,512,0,0,0,0,
491,514,511,513,0,0,0,0,
491,514,509,513,0,0,0,0,
491,515,509,513,0,0,0,0,
491,514,510,512,0,0,0,0,
489,514,512,515,0,0,0,0,
490,515,509,511,0,0,0,0,
489,515,510,513,0,0,0,0,
489,515,510,512,0,0,0,0,
487,515,510,512,0,0,0,0,
485,517,510,513,0,0,0,0,
487,517,511,513,0,0,0,0,
487,517,511,512,0,0,0,0,
487,517,511,512,0,0,0,0,
487,517,511,511,0,0,0,0,
489,518,511,512,0,0,0,0,
489,518,512,513,0,0,0,0,
489,517,511,513,0,0,0,0,
489,517,512,513,0,0,0,0,
490,515,512,514,0,0,0,0,
490,514,511,513,0,0,0,0,
490,514,511,513,0,0,0,0,
490,514,512,513,0,0,0,0,
491,513,510,512,0,0,0,0,
491,513,510,513,0,0,0,0,
491,513,511,512,0,0,0,0,
491,514,510,513,0,0,0,0,
490,513,513,512,0,0,0,0,
491,514,511,513,0,0,0,0,
491,514,511,513,0,0,0,0,
492,515,511,512,0,0,0,0,
489,514,511,513,0,0,0,0,
490,514,511,512,0,0,0,0,
491,515,510,511,0,0,0,0,
489,515,510,512,0,0,0,0,
489,515,510,512,0,0,0,0,
490,515,510,513,0,0,0,0,
489,515,511,512,0,0,0,0,
489,517,511,512,0,0,0,0,
489,515,510,512,0,0,0,0,
487,517,511,511,0,0,0,0,
487,515,512,512,0,0,0,0,
487,515,512,513,0,0,0,0,
489,517,511,513,0,0,0,0,
489,517,511,512,0,0,0,0,
490,515,512,513,0,0,0,0,
490,515,510,511,0,0,0,0,
491,515,511,512,0,0,0,0,
491,515,511,513,0,0,0,0,
491,514,510,512,0,0,0,0,
491,514,511,514,0,0,0,0,
491,514,510,513,0,0,0,0,
491,514,510,513,0,0,0,0,
490,514,510,513,0,0,0,0,
490,515,510,513,0,0,0,0,
490,514,510,512,0,0,0,0,
490,514,511,513,0,0,0,0,
490,515,511,515,0,0,0,0,
489,514,512,513,0,0,0,0,
489,515,512,512,0,0,0,0,
487,515,510,513,0,0,0,0,
487,515,513,513,0,0,0,0,
487,512,513,512,0,0,0,0,
489,515,512,512,0,0,0,0,
489,517,512,513,0,0,0,0,
489,517,512,512,0,0,0,0,
489,517,511,512,0,0,0,0,
490,517,509,512,0,0,0,0,
490,515,512,513,0,0,0,0,
490,515,511,515,0,0,0,0,
490,515,511,512,0,0,0,0,
491,515,511,514,0,0,0,0,
491,514,511,512,0,0,0,0,
490,514,510,512,0,0,0,0,
491,514,510,513,0,0,0,0,
490,514,510,513,0,0,0,0,
491,514,510,513,0,0,0,0,
491,514,509,513,0,0,0,0,
490,514,512,512,0,0,0,0,
490,514,512,514,0,0,0,0,
490,514,512,513,0,0,0,0,
490,514,512,512,0,0,0,0,
490,515,509,512,0,0,0,0,
490,515,511,513,0,0,0,0,
489,515,511,512,0,0,0,0,
489,517,512,512,0,0,0,0,
490,517,511,512,0,0,0,0,
490,517,510,514,0,0,0,0,
487,518,510,512,0,0,0,0,
489,518,511,511,0,0,0,0,
489,517,512,512,0,0,0,0,
487,517,509,513,0,0,0,0,
489,517,512,515,0,0,0,0,
489,515,511,513,0,0,0,0,
489,515,511,514,0,0,0,0,
489,515,514,513,0,0,0,0,
489,514,510,512,0,0,0,0,
490,514,512,512,0,0,0,0,
490,514,510,514,0,0,0,0,
490,514,510,513,0,0,0,0,
491,514,510,513,0,0,0,0,
491,513,512,512,0,0,0,0,
491,513,511,513,0,0,0,0,
491,514,510,512,0,0,0,0,
491,514,512,511,0,0,0,0,
491,514,512,513,0,0,0,0,
491,514,511,514,0,0,0,0,
490,514,511,514,0,0,0,0,
491,514,510,512,0,0,0,0,
491,514,510,512,0,0,0,0,
490,515,509,512,0,0,0,0,
489,515,510,513,0,0,0,0,
489,515,510,513,0,0,0,0,
489,515,512,513,0,0,0,0,
487,515,512,512,0,0,0,0,
487,517,510,512,0,0,0,0,
487,517,512,514,0,0,0,0,
487,517,512,514,0,0,0,0,
489,517,511,512,0,0,0,0,
487,517,512,513,0,0,0,0,
487,517,510,512,0,0,0,0,
490,517,510,511,0,0,0,0,
489,515,512,512,0,0,0,0,
489,515,511,514,0,0,0,0,
490,515,510,513,0,0,0,0,
490,515,510,512,0,0,0,0,
490,514,512,512,0,0,0,0,
491,514,512,513,0,0,0,0,
492,513,512,514,0,0,0,0,
491,514,511,513,0,0,0,0,
491,513,513,512,0,0,0,0,
491,514,510,512,0,0,0,0,
491,514,511,510,0,0,0,0,
491,513,510,511,0,0,0,0,
491,514,509,512,0,0,0,0,
490,514,510,511,0,0,0,0,
490,514,512,512,0,0,0,0,
489,514,512,512,0,0,0,0,
489,515,509,512,0,0,0,0,
489,515,511,512,0,0,0,0,
489,515,511,513,0,0,0,0,
487,517,509,514,0,0,0,0,
489,517,511,513,0,0,0,0,
487,517,511,516,0,0,0,0,
489,517,511,513,0,0,0,0,
487,517,511,512,0,0,0,0,
489,517,512,514,0,0,0,0,
487,517,512,510,0,0,0,0,
489,517,510,514,0,0,0,0,
490,517,511,514,0,0,0,0,
490,515,510,513,0,0,0,0,
490,515,511,512,0,0,0,0,
490,515,512,512,0,0,0,0,
490,515,510,512,0,0,0,0,
490,514,512,513,0,0,0,0,
491,513,512,512,0,0,0,0,
491,514,511,514,0,0,0,0,
491,514,512,512,0,0,0,0,
491,514,512,510,0,0,0,0,
491,514,512,514,0,0,0,0,
489,514,511,512,0,0,0,0,
491,514,512,514,0,0,0,0,
490,514,510,512,0,0,0,0,
490,514,510,513,0,0,0,0,
490,514,510,512,0,0,0,0,
490,514,512,514,0,0,0,0,
490,515,511,513,0,0,0,0,
490,515,512,512,0,0,0,0,
489,515,511,513,0,0,0,0,
489,515,509,511,0,0,0,0,
489,515,511,513,0,0,0,0,
487,517,510,512,0,0,0,0,
489,517,511,512,0,0,0,0,
487,517,511,512,0,0,0,0,
489,517,511,512,0,0,0,0,
489,517,511,513,0,0,0,0,
489,517,511,513,0,0,0,0,
489,517,512,512,0,0,0,0,
489,515,510,514,0,0,0,0,
490,515,511,512,0,0,0,0,
490,514,511,512,0,0,0,0,
491,515,511,512,0,0,0,0,
490,514,512,513,0,0,0,0,
490,514,512,512,0,0,0,0,
490,514,511,514,0,0,0,0,
491,514,511,512,0,0,0,0,
491,514,512,512,0,0,0,0,
491,514,511,512,0,0,0,0,
491,514,512,511,0,0,0,0,
490,514,510,513,0,0,0,0,
490,514,509,512,0,0,0,0,
490,515,512,512,0,0,0,0,
490,514,510,512,0,0,0,0,
489,515,512,512,0,0,0,0,
489,515,511,512,0,0,0,0,
489,515,511,512,0,0,0,0,
489,515,510,513,0,0,0,0,
490,515,512,512,0,0,0,0,
490,515,511,514,0,0,0,0,
489,515,510,513,0,0,0,0,
487,517,512,513,0,0,0,0,
487,515,511,512,0,0,0,0,
490,515,510,513,0,0,0,0,
490,515,512,513,0,0,0,0,
490,517,511,513,0,0,0,0,
490,515,511,512,0,0,0,0,
491,515,512,512,0,0,0,0,
489,515,510,512,0,0,0,0,
490,515,511,513,0,0,0,0,
490,515,510,513,0,0,0,0,
491,514,511,515,0,0,0,0,
490,514,511,512,0,0,0,0,
491,514,510,514,0,0,0,0,
490,514,512,512,0,0,0,0,
490,514,512,512,0,0,0,0,
490,514,511,512,0,0,0,0,
490,515,511,512,0,0,0,0,
490,514,512,513,0,0,0,0,
490,515,512,513,0,0,0,0,
491,513,511,512,0,0,0,0,
489,513,511,512,0,0,0,0,
491,514,510,513,0,0,0,0,
491,514,512,512,0,0,0,0,
491,514,510,512,0,0,0,0,
492,514,510,513,0,0,0,0,
492,514,509,514,0,0,0,0,
492,515,510,513,0,0,0,0,
491,514,511,513,0,0,0,0,
491,514,511,512,0,0,0,0,
490,515,510,514,0,0,0,0,
490,514,509,515,0,0,0,0,
489,514,510,511,0,0,0,0,
489,514,511,512,0,0,0,0,
487,514,513,512,0,0,0,0,
487,515,512,514,0,0,0,0,
486,515,511,512,0,0,0,0,
487,517,511,512,0,0,0,0,
486,515,513,512,0,0,0,0,
486,517,512,513,0,0,0,0,
486,517,512,512,0,0,0,0,
489,517,512,513,0,0,0,0,
489,517,512,512,0,0,0,0,
489,517,511,513,0,0,0,0,
490,518,511,512,0,0,0,0,
491,517,509,512,0,0,0,0,
490,517,512,513,0,0,0,0,
491,515,512,512,0,0,0,0,
491,514,512,511,0,0,0,0,
491,513,511,515,0,0,0,0,
491,514,511,512,0,0,0,0,
491,513,512,513,0,0,0,0,
491,513,510,512,0,0,0,0,
491,513,510,511,0,0,0,0,
490,513,511,514,0,0,0,0,
490,514,511,513,0,0,0,0,
490,514,510,514,0,0,0,0,
489,514,509,512,0,0,0,0,
489,515,512,513,0,0,0,0,
489,515,512,515,0,0,0,0,
489,515,511,514,0,0,0,0,
487,515,511,512,0,0,0,0,
489,515,512,512,0,0,0,0,
489,517,510,512,0,0,0,0,
490,517,512,512,0,0,0,0,
489,515,510,512,0,0,0,0,
489,517,510,512,0,0,0,0,
489,517,512,511,0,0,0,0,
490,517,510,513,0,0,0,0,
490,515,512,513,0,0,0,0,
490,515,511,512,0,0,0,0,
490,515,510,513,0,0,0,0,
490,514,512,512,0,0,0,0,
490,515,512,513,0,0,0,0,
490,514,512,510,0,0,0,0,
491,514,511,514,0,0,0,0,
490,515,512,512,0,0,0,0,
491,514,510,512,0,0,0,0,
489,514,511,512,0,0,0,0,
490,515,510,514,0,0,0,0,
490,514,509,512,0,0,0,0,
490,515,511,513,0,0,0,0,
490,515,510,512,0,0,0,0,
490,515,511,513,0,0,0,0,
490,515,511,512,0,0,0,0,
490,515,512,513,0,0,0,0,
490,515,509,512,0,0,0,0,
489,515,510,514,0,0,0,0,
489,515,509,513,0,0,0,0,
489,515,512,512,0,0,0,0,
490,515,511,512,0,0,0,0,
490,515,512,511,0,0,0,0,
490,515,511,516,0,0,0,0,
487,515,512,514,0,0,0,0,
489,515,510,513,0,0,0,0,
490,515,510,512,0,0,0,0,
490,515,510,513,0,0,0,0,
490,514,512,512,0,0,0,0,
490,514,511,512,0,0,0,0,
490,514,512,513,0,0,0,0,
490,514,511,511,0,0,0,0,
490,514,511,512,0,0,0,0,
490,514,512,512,0,0,0,0,
491,514,512,511,0,0,0,0,
490,515,511,514,0,0,0,0,
490,514,511,513,0,0,0,0,
490,515,510,514,0,0,0,0,
490,515,510,512,0,0,0,0,
489,515,511,513,0,0,0,0,
490,515,509,512,0,0,0,0,
490,515,509,512,0,0,0,0,
489,515,511,513,0,0,0,0,
489,515,511,512,0,0,0,0,
490,515,510,512,0,0,0,0,
489,515,512,513,0,0,0,0,
490,515,512,513,0,0,0,0,
487,515,511,513,0,0,0,0,
490,515,510,514,0,0,0,0,
490,515,511,513,0,0,0,0,
489,515,511,513,0,0,0,0,
490,515,512,514,0,0,0,0,
490,515,511,512,0,0,0,0,
490,515,511,512,0,0,0,0,
490,515,512,513,0,0,0,0,
491,515,512,513,0,0,0,0,
490,514,512,513,0,0,0,0,
490,515,512,512,0,0,0,0,
490,514,510,511,0,0,0,0,
491,514,510,513,0,0,0,0,
490,514,512,513,0,0,0,0,
491,514,512,512,0,0,0,0,
490,514,512,513,0,0,0,0,
491,515,511,512,0,0,0,0,
490,514,512,512,0,0,0,0,
489,515,511,513,0,0,0,0,
490,515,509,513,0,0,0,0,
490,515,510,512,0,0,0,0,
489,515,511,513,0,0,0,0,
489,515,509,511,0,0,0,0,
490,515,511,512,0,0,0,0,
489,515,512,512,0,0,0,0,
490,515,509,513,0,0,0,0,
489,517,512,512,0,0,0,0,
490,515,510,513,0,0,0,0,
489,515,510,514,0,0,0,0,
490,515,512,512,0,0,0,0,
490,514,512,512,0,0,0,0,
487,515,512,513,0,0,0,0,
490,515,511,512,0,0,0,0,
490,515,512,513,0,0,0,0,
490,514,511,512,0,0,0,0,
491,514,510,513,0,0,0,0,
490,514,512,512,0,0,0,0,
491,515,508,512,0,0,0,0,
490,514,510,513,0,0,0,0,
491,514,511,513,0,0,0,0,
491,514,511,512,0,0,0,0,
490,514,511,512,0,0,0,0,
491,515,511,512,0,0,0,0,
490,515,510,515,0,0,0,0,
490,515,510,512,0,0,0,0,
490,515,511,514,0,0,0,0,
490,515,511,513,0,0,0,0,
490,515,511,511,0,0,0,0,
490,515,509,513,0,0,0,0,
489,515,511,514,0,0,0,0,
489,515,512,513,0,0,0,0,
490,515,512,513,0,0,0,0,
489,515,510,512,0,0,0,0,
490,515,511,512,0,0,0,0,
489,515,508,512,0,0,0,0,
490,517,509,514,0,0,0,0,
489,515,512,513,0,0,0,0,
489,515,512,513,0,0,0,0,
489,517,511,512,0,0,0,0,
490,515,510,513,0,0,0,0,
490,515,510,513,0,0,0,0,
490,515,511,513,0,0,0,0,
490,515,512,513,0,0,0,0,
490,515,512,512,0,0,0,0,
491,515,511,513,0,0,0,0,
490,514,509,512,0,0,0,0,
490,515,512,513,0,0,0,0,
490,514,512,512,0,0,0,0,
491,515,511,513,0,0,0,0,
490,515,512,513,0,0,0,0,
491,514,511,513,0,0,0,0,
489,514,512,512,0,0,0,0,
490,515,511,514,0,0,0,0,
490,515,512,513,0,0,0,0,
489,514,511,512,0,0,0,0,
490,515,510,512,0,0,0,0,
489,515,511,512,0,0,0,0,
489,515,510,512,0,0,0,0,
490,515,510,513,0,0,0,0,
489,515,511,512,0,0,0,0,
490,515,510,512,0,0,0,0,
490,515,512,512,0,0,0,0,
490,515,510,514,0,0,0,0,
490,515,511,513,0,0,0,0,
489,515,510,511,0,0,0,0,
489,515,511,513,0,0,0,0,
490,515,511,515,0,0,0,0,
490,515,512,512,0,0,0,0,
490,515,511,512,0,0,0,0,
489,515,510,512,0,0,0,0,
491,514,509,512,0,0,0,0,
490,514,511,512,0,0,0,0,
490,514,512,512,0,0,0,0,
490,514,512,514,0,0,0,0,
490,514,510,511,0,0,0,0,
490,514,511,512,0,0,0,0,
490,515,509,513,0,0,0,0,
490,514,510,514,0,0,0,0,
490,515,510,513,0,0,0,0,
490,514,512,513,0,0,0,0,
490,515,510,512,0,0,0,0,
489,515,511,512,0,0,0,0,
489,515,511,512,0,0,0,0,
489,515,512,512,0,0,0,0,
489,515,511,512,0,0,0,0,
490,515,511,513,0,0,0,0,
489,515,512,512,0,0,0,0,
490,515,509,513,0,0,0,0,
489,515,511,512,0,0,0,0,
490,515,511,512,0,0,0,0,
490,515,511,513,0,0,0,0,
490,515,510,514,0,0,0,0,
489,514,510,511,0,0,0,0,
489,515,511,513,0,0,0,0,
490,515,510,511,0,0,0,0,
489,514,511,512,0,0,0,0,
490,515,511,512,0,0,0,0,
490,515,511,514,0,0,0,0,
490,514,511,512,0,0,0,0,
489,515,510,512,0,0,0,0,
490,514,510,513,0,0,0,0,
490,515,511,511,0,0,0,0,
490,515,510,512,0,0,0,0,
490,514,512,513,0,0,0,0,
490,515,512,512,0,0,0,0,
489,514,510,514,0,0,0,0,
490,515,512,513,0,0,0,0,
489,514,510,513,0,0,0,0,
490,515,509,512,0,0,0,0,
489,515,511,512,0,0,0,0,
489,515,511,512,0,0,0,0,
490,515,510,511,0,0,0,0,
490,515,511,514,0,0,0,0,
490,515,511,512,0,0,0,0,
490,515,511,513,0,0,0,0,
490,515,512,513,0,0,0,0,
490,515,513,512,0,0,0,0,
490,515,510,512,0,0,0,0,
489,515,511,513,0,0,0,0,
490,514,512,512,0,0,0,0,
490,515,512,511,0,0,0,0,
489,515,511,513,0,0,0,0,
490,515,512,513,0,0,0,0,
489,515,509,513,0,0,0,0,
490,515,510,513,0,0,0,0,
490,515,511,512,0,0,0,0,
490,515,510,513,0,0,0,0,
490,515,511,513,0,0,0,0,
490,515,512,512,0,0,0,0,
489,515,511,513,0,0,0,0,
490,515,510,514,0,0,0,0,
490,515,511,513,0,0,0,0,
490,514,512,512,0,0,0,0,
489,515,511,514,0,0,0,0,
490,515,512,512,0,0,0,0,
490,514,511,512,0,0,0,0,
489,515,511,512,0,0,0,0,
490,515,509,513,0,0,0,0,
490,515,511,513,0,0,0,0,
489,515,510,512,0,0,0,0,
489,515,511,513,0,0,0,0,
489,515,512,513,0,0,0,0,
489,515,510,512,0,0,0,0,
489,515,511,512,0,0,0,0,
489,515,511,513,0,0,0,0,
490,515,511,512,0,0,0,0,
489,515,512,513,0,0,0,0,
491,515,512,512,0,0,0,0,
490,515,512,514,0,0,0,0,
490,515,511,512,0,0,0,0,
490,515,511,514,0,0,0,0,
490,515,510,514,0,0,0,0,
490,515,511,515,0,0,0,0,
490,514,512,511,0,0,0,0,
489,515,511,514,0,0,0,0,
490,515,511,514,0,0,0,0,
490,515,511,512,0,0,0,0,
490,515,510,512,0,0,0,0,
490,515,509,513,0,0,0,0,
490,515,512,512,0,0,0,0,
489,515,512,513,0,0,0,0,
490,515,510,512,0,0,0,0,
489,515,511,511,0,0,0,0,
490,515,510,510,0,0,0,0,
490,515,512,512,0,0,0,0,
489,515,512,513,0,0,0,0,
490,515,512,514,0,0,0,0,
489,515,510,512,0,0,0,0,
490,515,511,512,0,0,0,0,
490,515,510,513,0,0,0,0,
490,515,509,511,0,0,0,0,
490,515,512,512,0,0,0,0,
490,515,512,513,0,0,0,0,
490,515,513,513,0,0,0,0,
490,515,510,512,0,0,0,0,
490,515,511,513,0,0,0,0,
490,515,510,513,0,0,0,0,
490,514,511,512,0,0,0,0,
490,515,512,514,0,0,0,0,
490,514,510,512,0,0,0,0,
490,514,510,513,0,0,0,0,
489,514,512,513,0,0,0,0,
489,514,510,512,0,0,0,0,
489,515,511,512,0,0,0,0,
490,515,510,514,0,0,0,0,
490,515,512,513,0,0,0,0,
489,515,510,513,0,0,0,0,
490,515,509,514,0,0,0,0,
490,515,511,513,0,0,0,0,
490,515,510,515,0,0,0,0,
490,515,511,514,0,0,0,0,
490,515,511,514,0,0,0,0,
489,515,512,512,0,0,0,0,
489,515,510,514,0,0,0,0,
489,515,511,514,0,0,0,0,
490,515,511,513,0,0,0,0,
490,515,510,512,0,0,0,0,
490,514,510,513,0,0,0,0,
489,515,512,512,0,0,0,0,
490,515,510,512,0,0,0,0,
490,515,509,512,0,0,0,0,
490,515,511,512,0,0,0,0,
490,515,512,513,0,0,0,0,
490,515,511,514,0,0,0,0,
490,515,512,512,0,0,0,0,
490,515,511,512,0,0,0,0,
490,514,511,512,0,0,0,0,
491,515,511,513,0,0,0,0,
491,515,515,514,0,0,0,0,
491,515,512,515,0,0,0,0,
490,515,512,511,0,0,0,0,
490,515,512,513,0,0,0,0,
489,515,512,515,0,0,0,0,
490,515,512,512,0,0,0,0,
490,515,512,511,0,0,0,0,
490,515,511,513,0,0,0,0,
489,515,512,513,0,0,0,0,
489,515,512,511,0,0,0,0,
489,515,510,513,0,0,0,0,
490,515,511,513,0,0,0,0,
489,515,510,514,0,0,0,0,
490,514,512,512,0,0,0,0,
490,515,514,513,0,0,0,0,
491,515,511,512,0,0,0,0,
490,514,511,511,0,0,0,0,
490,514,509,513,0,0,0,0,
490,514,512,514,0,0,0,0,
490,514,511,513,0,0,0,0,
491,514,512,513,0,0,0,0,
490,514,511,514,0,0,0,0,
490,514,511,513,0,0,0,0,
490,514,510,512,0,0,0,0,
490,515,512,512,0,0,0,0,
490,515,511,513,0,0,0,0,
490,515,511,512,0,0,0,0,
490,515,512,512,0,0,0,0,
490,515,510,512,0,0,0,0,
490,515,510,512,0,0,0,0,
489,515,511,512,0,0,0,0,
490,515,511,512,0,0,0,0,
489,514,509,514,0,0,0,0,
490,517,510,512,0,0,0,0,
490,515,510,515,0,0,0,0,
490,515,512,514,0,0,0,0,
489,515,511,512,0,0,0,0,
489,515,511,513,0,0,0,0,
489,515,510,513,0,0,0,0,
489,515,510,514,0,0,0,0,
490,515,512,513,0,0,0,0,
489,515,510,514,0,0,0,0,
489,515,511,513,0,0,0,0,
489,515,511,511,0,0,0,0,
489,515,510,512,0,0,0,0,
489,515,512,512,0,0,0,0,
490,514,511,513,0,0,0,0,
490,515,512,515,0,0,0,0,
490,514,511,515,0,0,0,0,
490,515,511,512,0,0,0,0,
492,514,511,513,0,0,0,0,
490,514,509,513,0,0,0,0,
490,514,512,512,0,0,0,0,
491,514,511,512,0,0,0,0,
491,514,510,512,0,0,0,0,
491,514,511,514,0,0,0,0,
490,514,512,512,0,0,0,0,
490,514,512,512,0,0,0,0,
490,515,510,513,0,0,0,0,
489,515,511,514,0,0,0,0,
489,514,513,512,0,0,0,0,
489,515,511,512,0,0,0,0,
487,515,510,513,0,0,0,0,
487,515,511,512,0,0,0,0,
490,517,512,513,0,0,0,0,
490,517,511,513,0,0,0,0,
489,517,512,513,0,0,0,0,
490,517,512,513,0,0,0,0,
490,517,510,512,0,0,0,0,
489,517,512,512,0,0,0,0,
489,515,512,513,0,0,0,0,
490,515,511,515,0,0,0,0,
490,515,511,513,0,0,0,0,
489,515,511,512,0,0,0,0,
490,515,513,512,0,0,0,0,
490,515,510,514,0,0,0,0,
491,514,512,513,0,0,0,0,
490,514,511,510,0,0,0,0,
490,514,511,512,0,0,0,0,
490,514,510,511,0,0,0,0,
491,514,510,512,0,0,0,0,
490,514,510,513,0,0,0,0,
491,514,511,513,0,0,0,0,
490,514,512,514,0,0,0,0,
491,514,511,512,0,0,0,0,
490,515,510,511,0,0,0,0,
491,514,512,513,0,0,0,0,
490,515,512,513,0,0,0,0,
489,514,512,513,0,0,0,0,
490,515,511,513,0,0,0,0,
490,515,511,512,0,0,0,0,
490,515,511,514,0,0,0,0,
489,515,512,512,0,0,0,0,
489,515,510,513,0,0,0,0,
489,515,511,514,0,0,0,0,
492,517,512,513,0,0,0,0,
489,517,509,513,0,0,0,0,
489,515,512,512,0,0,0,0,
490,515,511,512,0,0,0,0,
489,515,512,513,0,0,0,0,
489,515,512,514,0,0,0,0,
489,515,513,512,0,0,0,0,
490,515,511,512,0,0,0,0,
490,515,509,513,0,0,0,0,
489,514,510,512,0,0,0,0,
491,515,512,512,0,0,0,0,
491,514,509,513,0,0,0,0,
491,514,511,511,0,0,0,0,
491,514,510,516,0,0,0,0,
491,514,510,513,0,0,0,0,
491,514,511,514,0,0,0,0,
490,515,511,514,0,0,0,0,
490,514,508,513,0,0,0,0,
489,514,511,513,0,0,0,0,
489,515,511,512,0,0,0,0,
490,514,512,512,0,0,0,0,
490,514,512,512,0,0,0,0,
489,515,511,512,0,0,0,0,
489,515,510,512,0,0,0,0,
489,514,512,512,0,0,0,0,
489,515,511,513,0,0,0,0,
489,515,512,512,0,0,0,0,
489,515,512,513,0,0,0,0,
489,515,511,512,0,0,0,0,
490,517,508,512,0,0,0,0,
489,517,512,513,0,0,0,0,
489,515,510,511,0,0,0,0,
489,517,509,514,0,0,0,0,
490,512,512,513,0,0,0,0,
490,517,510,513,0,0,0,0,
490,515,509,513,0,0,0,0,
490,515,509,512,0,0,0,0,
490,515,512,513,0,0,0,0,
491,515,511,512,0,0,0,0,
491,515,511,513,0,0,0,0,
490,514,512,512,0,0,0,0,
490,515,512,514,0,0,0,0,
490,515,511,512,0,0,0,0,
490,514,511,513,0,0,0,0,
491,514,511,513,0,0,0,0,
490,514,510,513,0,0,0,0,
489,514,511,513,0,0,0,0,
489,515,511,515,0,0,0,0,
490,515,510,512,0,0,0,0,
490,515,512,512,0,0,0,0,
490,515,512,511,0,0,0,0,
489,515,510,514,0,0,0,0,
489,515,512,512,0,0,0,0,
489,515,511,514,0,0,0,0,
489,515,510,512,0,0,0,0,
490,515,511,513,0,0,0,0,
489,515,512,512,0,0,0,0,
490,515,511,511,0,0,0,0,
489,515,509,512,0,0,0,0,
490,515,511,512,0,0,0,0,
490,515,510,513,0,0,0,0,
489,515,512,512,0,0,0,0,
490,515,512,514,0,0,0,0,
491,515,511,513,0,0,0,0,
490,515,512,512,0,0,0,0,
489,514,511,511,0,0,0,0,
490,515,511,513,0,0,0,0,
490,515,512,517,0,0,0,0,
490,514,512,512,0,0,0,0,
491,515,511,513,0,0,0,0,
490,514,511,512,0,0,0,0,
490,515,510,511,0,0,0,0,
490,515,510,512,0,0,0,0,
491,514,511,513,0,0,0,0,
489,515,510,512,0,0,0,0,
490,515,511,513,0,0,0,0,
490,515,511,512,0,0,0,0,
490,515,509,512,0,0,0,0,
490,515,512,512,0,0,0,0,
489,515,512,514,0,0,0,0,
489,515,510,511,0,0,0,0,
490,515,509,512,0,0,0,0,
490,515,510,514,0,0,0,0,
490,515,511,513,0,0,0,0,
489,515,510,515,0,0,0,0,
489,515,512,514,0,0,0,0,
491,515,510,513,0,0,0,0,
489,515,511,513,0,0,0,0,
490,515,511,513,0,0,0,0,
490,515,511,512,0,0,0,0,
490,515,511,513,0,0,0,0,
